Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Iraq,IRQ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,49.33894,,,,
Ireland,IRL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,8.5,,,,
Isle of Man,IMN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Israel,ISR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Italy,ITA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Jamaica,JAM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Japan,JPN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Jordan,JOR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,16.72229,,,,
Kazakhstan,KAZ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,0.79376,,,,
Kenya,KEN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,50.81331,,,,
Kiribati,KIR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
"Korea, Dem. People's Rep.",PRK,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
"Korea, Rep.",KOR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Kosovo,XKX,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Kuwait,KWT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Kyrgyz Republic,KGZ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,2.43932,,,,
Lao PDR,LAO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,21.8,,,,
Latvia,LVA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Lebanon,LBN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Lesotho,LSO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,25.55318,,,,
Liberia,LBR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,63.88484,,,,
Libya,LBY,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Liechtenstein,LIE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Lithuania,LTU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Luxembourg,LUX,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
"Macao SAR, China",MAC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Madagascar,MDG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,67.42009,,,,
Malawi,MWI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,49.78452,,,,
Malaysia,MYS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Maldives,MDV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,34.845,,,,
Mali,MLI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,41.92883,,,,
Malta,MLT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Marshall Islands,MHL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Mauritania,MRT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,56,,,,
Mauritius,MUS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Mexico,MEX,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,17.6,,,,
"Micronesia, Fed. Sts.",FSM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Moldova,MDA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Monaco,MCO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Mongolia,MNG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,17.87869,,,,
Montenegro,MNE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,8.8,,,,
Morocco,MAR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,10.85088,,,,
Mozambique,MOZ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,54.95891,,,,
Myanmar,MMR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,58.28105,,,,
Namibia,NAM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Nauru,NRU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Nepal,NPL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,40.2822,,,,
Netherlands,NLD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
New Caledonia,NCL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
New Zealand,NZL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Nicaragua,NIC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Niger,NER,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Nigeria,NGA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,48.98206,,,,
North Macedonia,MKD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Northern Mariana Islands,MNP,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Norway,NOR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Oman,OMN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Pakistan,PAK,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,55.97371,,,,
Palau,PLW,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Panama,PAN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Papua New Guinea,PNG,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Paraguay,PRY,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,15.1,,,,
Peru,PER,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Philippines,PHL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,36.61565,,,,
Poland,POL,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Portugal,PRT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Puerto Rico,PRI,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Qatar,QAT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Romania,ROU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Russian Federation,RUS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Rwanda,RWA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,38.34923,,,,
Samoa,WSM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
San Marino,SMR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Sao Tome and Principe,STP,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,52.6,,,,
Saudi Arabia,SAU,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Senegal,SEN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,31.60484,,,,
Serbia,SRB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Seychelles,SYC,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Sierra Leone,SLE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,50.64661,,,,
Singapore,SGP,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Sint Maarten (Dutch part),SXM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Slovak Republic,SVK,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Slovenia,SVN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Solomon Islands,SLB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Somalia,SOM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
South Africa,ZAF,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,24.2,,,,
South Sudan,SSD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Spain,ESP,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Sri Lanka,LKA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
St. Kitts and Nevis,KNA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
St. Lucia,LCA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
St. Martin (French part),MAF,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
St. Vincent and the Grenadines,VCT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Sudan,SDN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,73.7,,,,
Suriname,SUR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,15.80035,,,,
Sweden,SWE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Switzerland,CHE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Syrian Arab Republic,SYR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Tajikistan,TJK,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,17.06392,,,,
Tanzania,TZA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,40.88048,,,,
Thailand,THA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,6.79482,,,,
Timor-Leste,TLS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,33.9,,,,
Togo,TGO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,38.5,,,,
Tonga,TON,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Trinidad and Tobago,TTO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Tunisia,TUN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,7.64301,,,,
Turkiye,TUR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Turkmenistan,TKM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,8.5065,,,,
Turks and Caicos Islands,TCA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Tuvalu,TUV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Uganda,UGA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,54.01214,,,,
Ukraine,UKR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
United Arab Emirates,ARE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
United Kingdom,GBR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
United States,USA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Uruguay,URY,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Uzbekistan,UZB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Vanuatu,VUT,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
"Venezuela, RB",VEN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Viet Nam,VNM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,5.76598,,,,
Virgin Islands (U.S.),VIR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
West Bank and Gaza,PSE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,19.5,,,,
"Yemen, Rep.",YEM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,,,,,
Zambia,ZMB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,48.25813,,,,
Zimbabwe,ZWE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,21.56821,,,,
