Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Congo, Dem. Rep.",COD,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,13.0785833669272,13.0584065243194,13.0357748042804,..,..
"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,48.7,49.7,50.6,51.3,..
"Congo, Rep.",COG,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Costa Rica,CRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9,100,100,100,..
Costa Rica,CRI,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,24.9977037739984,25.1675666699706,25.3526524290332,..,..
Cote d'Ivoire,CIV,Access to electricity (% of population),EG.ELC.ACCS.ZS,69.9,71.1,72,72.4,..
Cote d'Ivoire,CIV,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,16.6919892427155,16.9701696011372,17.2462063328749,..,..
Croatia,HRV,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Croatia,HRV,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,77.8796957700358,77.9574071610837,..,..,..
Cuba,CUB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9,100,100,100,..
Cuba,CUB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,41.1699513776636,41.0282223718004,41.3266856014176,..,..
Curacao,CUW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Curacao,CUW,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Cyprus,CYP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Cyprus,CYP,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,76.8191579489765,76.8290218641798,76.8445151082956,..,..
Czechia,CZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Czechia,CZE,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,89.0261433543038,89.3582260011933,89.6911294519732,..,..
Denmark,DNK,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Denmark,DNK,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,98.6405223931316,98.7226984310222,98.8018289360977,..,..
Djibouti,DJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,64.5,65.4,65,65.2,..
Djibouti,DJI,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,39.5254517732902,39.5623765850528,39.6012054754992,..,..
Dominica,DMA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
Dominica,DMA,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
Dominican Republic,DOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,98.1,98.1,99.6,..
Dominican Republic,DOM,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,44.0000775190469,43.5646980049231,43.130185712713,..,..
Ecuador,ECU,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.9,100,100,98.7,..
Ecuador,ECU,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,41.8584793645654,41.8045362173887,41.5919958123263,..,..
"Egypt, Arab Rep.",EGY,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..
"Egypt, Arab Rep.",EGY,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,67.1545533532315,67.1621267559778,67.1721881963149,..,..
El Salvador,SLV,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7,97.9,100,98.3,..
El Salvador,SLV,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..
